Step(s),Voltage(V),Current_inv(A),SOC_true(%)
575,3.3365,-150.6072,99.5886
576,3.3363,-150.624,99.5873
577,3.3361,-150.6322,99.586
578,3.3358,-150.6508,99.5848
579,3.3356,-150.655,99.5835
580,3.3353,-150.6607,99.5823
581,3.3351,-150.6733,99.581
582,3.3348,-150.6837,99.5798
583,3.3346,-150.6979,99.5785
584,3.3343,-150.7117,99.5773
585,3.3341,-150.7213,99.576
586,3.3339,-150.7218,99.5748
587,3.3337,-150.7362,99.5735
588,3.3334,-150.7535,99.5723
589,3.3332,-150.7613,99.571
590,3.3329,-150.7789,99.5698
591,3.3328,-150.78,99.5685
592,3.3325,-150.7887,99.5673
593,3.3323,-150.8023,99.566
594,3.3321,-150.8188,99.5648
595,3.3319,-150.8165,99.5635
596,3.3317,-150.8299,99.5622
597,3.3314,-150.845,99.561
598,3.3312,-150.8549,99.5597
599,3.331,-150.8571,99.5585
600,3.3308,-150.8655,99.5572
601,3.3306,-150.8787,99.556
602,3.3304,-150.8839,99.5547
603,3.3302,-150.8986,99.5535
604,3.33,-150.9081,99.5522
605,3.3298,-150.9201,99.551
606,3.3296,-150.9203,99.5497
607,3.3294,-150.9337,99.5485
608,3.3292,-150.9526,99.5472
609,3.329,-150.947,99.5459
610,3.3288,-150.9621,99.5447
611,3.3286,-150.9741,99.5434
612,3.3284,-150.9733,99.5422
613,3.3282,-150.9844,99.5409
614,3.328,-151.0059,99.5397
615,3.3278,-151.0036,99.5384
616,3.3276,-151.0139,99.5372
617,3.3275,-151.0288,99.5359
618,3.3273,-151.0287,99.5347
619,3.3271,-151.0383,99.5334
620,3.3269,-151.0537,99.5321
621,3.3267,-151.0535,99.5309
622,3.3265,-151.0675,99.5296
623,3.3264,-151.0777,99.5284
624,3.3261,-151.0772,99.5271
625,3.326,-151.0886,99.5259
626,3.3258,-151.0913,99.5246
627,3.3257,-151.1088,99.5234
628,3.3254,-151.1213,99.5221
629,3.3252,-151.1213,99.5208
630,3.3251,-151.1313,99.5196
631,3.3249,-151.1289,99.5183
632,3.3247,-151.1504,99.5171
633,3.3245,-151.1628,99.5158
634,3.3243,-151.1601,99.5146
635,3.3242,-151.1734,99.5133
636,3.3241,-151.1703,99.512
637,3.3239,-151.1866,99.5108
638,3.3237,-151.2031,99.5095
639,3.3235,-151.2023,99.5083
640,3.3233,-151.2114,99.507
641,3.3232,-151.2109,99.5058
642,3.323,-151.2269,99.5045
643,3.3229,-151.2394,99.5033
644,3.3227,-151.2422,99.502
645,3.3225,-151.2524,99.5007
646,3.3223,-151.2516,99.4995
647,3.3222,-151.266,99.4982
648,3.322,-151.2654,99.497
649,3.3218,-151.2785,99.4957
650,3.3217,-151.2794,99.4945
651,3.3215,-151.2906,99.4932
652,3.3214,-151.3055,99.4919
653,3.3212,-151.3041,99.4907
654,3.3211,-151.3151,99.4894
655,3.3209,-151.3176,99.4882
656,3.3207,-151.3315,99.4869
657,3.3206,-151.329,99.4857
658,3.3204,-151.3443,99.4844
659,3.3202,-151.3556,99.4831
660,3.3201,-151.3565,99.4819
661,3.32,-151.369,99.4806
662,3.3198,-151.3714,99.4794
663,3.3196,-151.3888,99.4781
664,3.3195,-151.3858,99.4768
665,3.3193,-151.3937,99.4756
666,3.3191,-151.3939,99.4743
667,3.319,-151.4094,99.4731
668,3.3188,-151.4122,99.4718
669,3.3187,-151.4199,99.4706
670,3.3185,-151.421,99.4693
671,3.3184,-151.4385,99.468
672,3.3182,-151.4495,99.4668
673,3.3181,-151.4517,99.4655
674,3.318,-151.4639,99.4643
675,3.3178,-151.4605,99.463
676,3.3177,-151.4692,99.4617
677,3.3175,-151.4749,99.4605
678,3.3174,-151.4849,99.4592
679,3.3172,-151.484,99.458
680,3.3171,-151.4994,99.4567
681,3.3169,-151.5029,99.4555
682,3.3168,-151.5188,99.4542
683,3.3166,-151.5125,99.4529
684,3.3165,-151.5236,99.4517
685,3.3164,-151.5267,99.4504
686,3.3162,-151.5423,99.4492
687,3.3161,-151.536,99.4479
688,3.3159,-151.5479,99.4466
689,3.3158,-151.552,99.4454
690,3.3156,-151.563,99.4441
691,3.3155,-151.5638,99.4429
692,3.3153,-151.5804,99.4416
693,3.3152,-151.5773,99.4403
694,3.3151,-151.5901,99.4391
695,3.3149,-151.589,99.4378
696,3.3148,-151.6024,99.4366
697,3.3147,-151.6034,99.4353
698,3.3145,-151.6203,99.434
699,3.3144,-151.6198,99.4328
700,3.3142,-151.6292,99.4315
701,3.3141,-151.6309,99.4303
702,3.3139,-151.6423,99.429
703,3.3138,-151.6444,99.4277
704,3.3137,-151.6557,99.4265
705,3.3135,-151.6498,99.4252
706,3.3134,-151.6678,99.424
707,3.3133,-151.6682,99.4227
708,3.3132,-151.6836,99.4214
709,3.313,-151.6865,99.4202
710,3.3129,-151.6902,99.4189
711,3.3127,-151.692,99.4177
712,3.3126,-151.6925,99.4164
713,3.3125,-151.7108,99.4151
714,3.3124,-151.7105,99.4139
715,3.3122,-151.7184,99.4126
716,3.3121,-151.7178,99.4114
717,3.3119,-151.7342,99.4101
718,3.3118,-151.7318,99.4088
719,3.3116,-151.7469,99.4076
720,3.3115,-151.7493,99.4063
721,3.3114,-151.7547,99.405
722,3.3113,-151.7565,99.4038
723,3.3112,-151.7645,99.4025
724,3.311,-151.7723,99.4013
725,3.3109,-151.7737,99.4
726,3.3107,-151.7877,99.3987
727,3.3106,-151.7839,99.3975
728,3.3105,-151.7991,99.3962
729,3.3104,-151.798,99.395
730,3.3103,-151.8133,99.3937
731,3.3101,-151.8119,99.3924
732,3.31,-151.8184,99.3912
733,3.3099,-151.8206,99.3899
734,3.3097,-151.8361,99.3886
735,3.3096,-151.8381,99.3874
736,3.3095,-151.835,99.3861
737,3.3094,-151.8513,99.3849
738,3.3093,-151.8526,99.3836
739,3.3091,-151.8625,99.3823
740,3.309,-151.8627,99.3811
741,3.3089,-151.8775,99.3798
742,3.3088,-151.8783,99.3786
743,3.3086,-151.8782,99.3773
744,3.3085,-151.8873,99.376
745,3.3084,-151.8868,99.3748
746,3.3083,-151.8971,99.3735
747,3.3081,-151.9025,99.3722
748,3.3081,-151.9146,99.371
749,3.3079,-151.9136,99.3697
750,3.3078,-151.9172,99.3685
751,3.3077,-151.9272,99.3672
752,3.3075,-151.9244,99.3659
753,3.3074,-151.9391,99.3647
754,3.3073,-151.9378,99.3634
755,3.3072,-151.956,99.3621
756,3.307,-151.9587,99.3609
757,3.3069,-151.9534,99.3596
758,3.3068,-151.9651,99.3584
759,3.3067,-151.9707,99.3571
760,3.3066,-151.9788,99.3558
761,3.3065,-151.9793,99.3546
762,3.3064,-151.9825,99.3533
763,3.3062,-151.995,99.352
764,3.3061,-151.9981,99.3508
765,3.306,-152.0058,99.3495
766,3.3059,-152.0059,99.3482
767,3.3058,-152.0201,99.347
768,3.3056,-152.0222,99.3457
769,3.3055,-152.0238,99.3445
770,3.3054,-152.0307,99.3432
771,3.3053,-152.0286,99.3419
772,3.3052,-152.0414,99.3407
773,3.3051,-152.0445,99.3394
774,3.305,-152.0454,99.3381
775,3.3048,-152.06,99.3369
776,3.3047,-152.0626,99.3356
777,3.3046,-152.0728,99.3343
778,3.3045,-152.0685,99.3331
779,3.3043,-152.088,99.3318
